1.081600785E-3	9.945066413E-4	1.044136705E-3	1.063363627E-3	1.120576984E-3	1.016803202E-3	8.187477360E-4	8.849055739E-4	1.025548670E-3	1.163938898E-3	1.478661550E-3	1.792058698E-3	1.695930143E-3	1.257828670E-3	1.120000961E-3	1.364048570E-3	1.436050632E-3	1.299072406E-3	1.221612911E-3	1.120482921E-3	1.020550495E-3	1.065634307E-3	1.248645713E-3	1.472501317E-3	1.490039635E-3	1.366676530E-3	1.299795462E-3	1.290919841E-3	1.398168504E-3	1.436108490E-3	1.259547076E-3	1.043304568E-3	8.187493659E-4	6.259673391E-4	7.691850187E-4	1.245618565E-3	1.542650163E-3	1.384184579E-3	1.046544523E-3	8.508623578E-4	8.091690834E-4	7.514336030E-4	6.668752176E-4	7.312029484E-4	1.026954968E-3	1.377414097E-3	1.495458302E-3	1.462980639E-3	1.455574413E-3	1.344612101E-3	1.117818407E-3	9.268122376E-4	8.923502173E-4
1.162327128E-3	1.104042516E-3	1.158537576E-3	1.098638517E-3	9.628638509E-4	7.336313138E-4	5.625328631E-4	6.974508287E-4	8.902057307E-4	1.047434518E-3	1.329590217E-3	1.546879532E-3	1.410907251E-3	1.100273803E-3	1.073420281E-3	1.314368797E-3	1.401455258E-3	1.303807832E-3	1.213784562E-3	1.084755757E-3	1.082808478E-3	1.292629400E-3	1.417605905E-3	1.444635098E-3	1.444639056E-3	1.389827696E-3	1.261601690E-3	1.082613831E-3	1.058317139E-3	1.177326776E-3	1.221155399E-3	1.148856943E-3	9.886829648E-4	NaN	NaN	1.229146961E-3	1.514900010E-3	1.414101338E-3	1.255505835E-3	1.232138602E-3	1.186873298E-3	9.459338617E-4	6.451416411E-4	6.060354062E-4	9.214251768E-4	1.367429504E-3	1.538781682E-3	1.401567599E-3	NaN	1.467983122E-3	1.355101820E-3	1.055839122E-3	9.216320468E-4
1.372753642E-3	1.196194906E-3	1.149688382E-3	1.111424412E-3	9.603226208E-4	6.870765937E-4	5.409807782E-4	7.275335956E-4	9.826520691E-4	1.136697480E-3	1.271542627E-3	1.295819995E-3	1.125205075E-3	9.726255666E-4	1.055143308E-3	1.256102463E-3	1.304941019E-3	1.199159306E-3	1.046084682E-3	8.538739057E-4	9.356642258E-4	1.310697175E-3	1.401593327E-3	1.243365346E-3	1.214762218E-3	1.259056502E-3	1.207228983E-3	1.011651824E-3	8.809526335E-4	1.040758332E-3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.445132773E-3	1.276839990E-3	1.335593523E-3	1.414224389E-3	1.170144300E-3	7.631618064E-4	6.463698228E-4	9.110358660E-4	1.305429963E-3	1.468504663E-3	1.368775382E-3	NaN	NaN	NaN	1.205389039E-3	9.783627465E-4
1.487065572E-3	1.154360827E-3	9.741397807E-4	1.005600556E-3	1.045002020E-3	9.110123501E-4	7.567529683E-4	8.552936488E-4	1.096070628E-3	1.228512730E-3	1.220030244E-3	1.123686787E-3	9.550614632E-4	8.300139452E-4	9.687099373E-4	1.307739061E-3	1.452644938E-3	1.304336940E-3	1.037045382E-3	7.373291883E-4	7.643008139E-4	1.173356199E-3	1.288704807E-3	1.061600866E-3	1.017376664E-3	1.183323213E-3	1.305377577E-3	1.174395322E-3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.242003986E-3	1.303083845E-3	1.437985920E-3	1.208662638E-3	7.899946650E-4	6.226125406E-4	7.777845021E-4	1.111985068E-3	1.382805756E-3	1.490911935E-3	NaN	NaN	NaN	NaN	1.106032985E-3
1.429439289E-3	1.069564489E-3	8.696918376E-4	9.019019199E-4	1.046804944E-3	1.098870067E-3	9.895608528E-4	9.761936381E-4	1.173731987E-3	1.330063096E-3	1.302858349E-3	1.216449775E-3	1.011673710E-3	6.628487026E-4	7.036128081E-4	1.315955189E-3	1.749633346E-3	1.621302450E-3	1.272481517E-3	9.366943850E-4	8.791599539E-4	1.185945584E-3	1.312834560E-3	1.103756600E-3	1.022344688E-3	1.215594821E-3	1.437671715E-3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.272834721E-3	1.278341049E-3	9.915030096E-4	6.497786380E-4	5.218915758E-4	5.957321264E-4	9.092360269E-4	1.314473688E-3	1.576138427E-3	NaN	NaN	NaN	NaN	NaN
1.219879021E-3	9.000544087E-4	8.442481048E-4	9.243833483E-4	1.021405682E-3	1.112460508E-3	1.074152766E-3	1.074812491E-3	1.333829830E-3	1.592684886E-3	1.587031758E-3	1.462258631E-3	1.175126527E-3	6.386472960E-4	5.375725450E-4	1.223423751E-3	1.795030432E-3	1.680331538E-3	1.315332949E-3	1.051949686E-3	9.670186555E-4	1.105203410E-3	1.235571923E-3	1.180349267E-3	1.116162981E-3	1.225012820E-3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.095528482E-3	8.282825002E-4	6.484437617E-4	6.519870367E-4	6.974876160E-4	9.213730809E-4	1.275151386E-3	1.504391781E-3	NaN	NaN	NaN	NaN	NaN
9.385522571E-4	7.013529539E-4	8.513196371E-4	1.049944432E-3	1.072325278E-3	1.096637570E-3	1.093007973E-3	1.125467708E-3	1.406932832E-3	1.717345556E-3	1.683543553E-3	1.404635492E-3	1.076447312E-3	6.811432540E-4	5.864634877E-4	1.050405786E-3	1.442320063E-3	1.286298619E-3	9.618125623E-4	8.336714818E-4	8.117262041E-4	8.449179586E-4	9.996602312E-4	1.155550010E-3	1.172365970E-3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.135080587E-3	9.860087885E-4	9.059687145E-4	9.892369853E-4	9.796731174E-4	9.878732963E-4	1.163497567E-3	1.341637573E-3	NaN	NaN	NaN	NaN	NaN
7.826696965E-4	7.608676096E-4	1.049448969E-3	1.213152660E-3	1.081681461E-3	1.017215662E-3	1.064378535E-3	1.116928295E-3	1.293478766E-3	1.549662673E-3	1.537876902E-3	1.189484145E-3	8.883195114E-4	7.671897183E-4	7.733933162E-4	9.678447968E-4	1.141286572E-3	1.031736028E-3	8.208971121E-4	7.757252897E-4	7.992320461E-4	8.154488169E-4	9.874943644E-4	1.207951922E-3	1.238655997E-3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.299004653E-3	1.239415258E-3	1.300333068E-3	1.173001132E-3	9.308781009E-4	9.743758128E-4	1.159205334E-3	NaN	NaN	NaN	NaN	NaN
8.615194238E-4	1.040927717E-3	1.399425208E-3	1.465291600E-3	1.157416380E-3	9.416373796E-4	9.779252578E-4	NaN	NaN	NaN	NaN	NaN	NaN	1.020597294E-3	1.099392422E-3	1.180073014E-3	1.285065664E-3	1.300321892E-3	1.176957740E-3	1.028333674E-3	9.290589369E-4	9.505191119E-4	1.179303741E-3	1.382274670E-3	1.383172465E-3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.478150254E-3	1.433552592E-3	1.454725047E-3	1.232886803E-3	8.776271134E-4	9.099190356E-4	1.105239615E-3	NaN	NaN	NaN	NaN	NaN
1.096558641E-3	1.242104336E-3	1.612822060E-3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.398793072E-3	1.565456041E-3	1.660962123E-3	1.529030502E-3	1.182355452E-3	8.741742349E-4	8.759069024E-4	1.177843311E-3	1.407515258E-3	1.435838174E-3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.395891421E-3	1.446068753E-3	1.260314253E-3	9.988992242E-4	1.092526829E-3	NaN	NaN	NaN	NaN	NaN	NaN
