1.111555728E-3	1.002181787E-3	9.244154789E-4	8.991289651E-4	8.701804909E-4	8.409151924E-4	8.189048967E-4	7.352304528E-4	6.883070455E-4	7.096679765E-4	6.799836992E-4	6.537033478E-4	6.130540860E-4	3.805583110E-4	1.575803763E-4	1.755288686E-4	2.114035306E-4	2.475387300E-4	3.585353552E-4	4.199245886E-4	4.902874934E-4	4.550069280E-4	2.200951276E-4
1.163053093E-3	1.037474489E-3	9.308851440E-4	8.815198089E-4	8.627070929E-4	8.308836841E-4	8.209689404E-4	7.864244981E-4	7.842902560E-4	8.260235190E-4	7.519655046E-4	6.682578824E-4	5.980419228E-4	2.656889556E-4	NaN	NaN	8.009573503E-5	2.823668765E-4	4.432018031E-4	5.118227564E-4	5.916423397E-4	5.736210151E-4	4.245349555E-4
NaN	1.081434661E-3	9.364960715E-4	8.283212082E-4	7.997335633E-4	8.299805922E-4	9.606819367E-4	1.061297604E-3	1.061420422E-3	1.020434429E-3	8.745947271E-4	7.649013423E-4	7.354271947E-4	4.399239260E-4	3.630677747E-5	NaN	2.077206009E-4	4.373573465E-4	5.647985963E-4	6.504299236E-4	7.809320814E-4	8.002052200E-4	6.965299253E-4
NaN	1.185010769E-3	1.080945367E-3	9.264689288E-4	8.337880718E-4	8.673124248E-4	1.059651026E-3	1.208263915E-3	1.193486038E-3	1.148625626E-3	1.069642487E-3	1.003027079E-3	9.778762469E-4	7.506142138E-4	4.316759005E-4	3.481883614E-4	4.416888987E-4	5.455849459E-4	6.195428432E-4	7.756844861E-4	1.023632241E-3	1.091224491E-3	9.487778298E-4
NaN	NaN	1.379231573E-3	1.246506115E-3	1.039920491E-3	9.219172061E-4	9.709174628E-4	1.046509133E-3	1.071020379E-3	1.144205686E-3	1.203920809E-3	1.176473685E-3	1.080690417E-3	8.541863644E-4	6.152427522E-4	5.174978287E-4	5.233365227E-4	5.813138559E-4	6.370582269E-4	7.648998289E-4	9.811420459E-4	1.020173542E-3	8.515487425E-4
NaN	NaN	NaN	1.332281623E-3	1.043065568E-3	8.259427268E-4	7.386187208E-4	7.218421670E-4	8.130764472E-4	1.021372504E-3	1.168426708E-3	1.162272063E-3	1.023215475E-3	7.448166143E-4	4.726447514E-4	3.575403825E-4	4.095956683E-4	5.613295361E-4	6.419161218E-4	6.157857133E-4	5.822827225E-4	5.105232121E-4	4.055261379E-4
NaN	NaN	NaN	1.176668447E-3	9.230331634E-4	7.609311724E-4	6.473902613E-4	5.525654997E-4	6.500767777E-4	9.190551355E-4	1.090073143E-3	1.095151296E-3	9.666534606E-4	6.569162942E-4	2.995341201E-4	1.437236206E-4	2.384346590E-4	4.354885314E-4	5.382334348E-4	4.279855057E-4	2.123989543E-4	8.265073120E-5	4.524136966E-5
NaN	NaN	NaN	1.179422368E-3	1.024006167E-3	9.548185626E-4	8.670042153E-4	7.066605031E-4	7.251746138E-4	9.772818303E-4	1.175723155E-3	1.176205697E-3	1.019344199E-3	7.142776740E-4	3.433806705E-4	1.611872576E-4	2.088315814E-4	2.849298762E-4	3.080097085E-4	2.048291353E-4	2.220272290E-5	NaN	NaN
NaN	NaN	NaN	NaN	1.200659201E-3	1.228098408E-3	1.185753848E-3	9.429703350E-4	8.219254087E-4	1.016356400E-3	1.276304014E-3	1.300969045E-3	1.084859250E-3	7.899610791E-4	5.090330960E-4	4.165529972E-4	4.534029576E-4	3.533413110E-4	1.699188288E-4	NaN	NaN	NaN	6.390628550E-5
NaN	NaN	NaN	NaN	1.244707964E-3	1.389111392E-3	1.358539215E-3	9.938196745E-4	7.346928469E-4	8.465777501E-4	1.116434578E-3	1.201878418E-3	1.039395574E-3	8.061752887E-4	6.156830932E-4	6.402004510E-4	7.404092466E-4	5.769885029E-4	2.508851467E-4	8.285430340E-6	NaN	1.020284908E-4	2.050576295E-4
NaN	NaN	NaN	NaN	1.148830401E-3	1.304041478E-3	1.234719181E-3	8.573789964E-4	6.190452259E-4	6.995999720E-4	9.102223557E-4	1.025522244E-3	9.982263437E-4	8.595020045E-4	6.514917477E-4	6.293023471E-4	7.301685982E-4	6.460535224E-4	4.291655787E-4	2.933847427E-4	3.472307289E-4	4.358205770E-4	3.996930609E-4
NaN	NaN	NaN	NaN	NaN	1.137116575E-3	1.040469739E-3	7.794608828E-4	6.687841960E-4	7.664032746E-4	9.141382761E-4	9.899837896E-4	9.958531009E-4	8.875618805E-4	6.569159450E-4	5.567952758E-4	6.146834348E-4	6.744277780E-4	7.058972842E-4	7.188452291E-4	7.737839478E-4	7.621644181E-4	6.163493381E-4
