NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	7.685691817E-4	1.015786198E-3	1.001423225E-3	8.882084512E-4	8.019270608E-4	6.851854851E-4	5.810906296E-4	5.476257065E-4	6.337881787E-4	7.670928608E-4	7.603007252E-4	7.650656626E-4	8.386005647E-4	8.606967749E-4	7.700335118E-4	5.007756990E-4	3.670633014E-4	5.778167979E-4	8.599446155E-4	1.049256301E-3	1.086397679E-3	9.713566978E-4	8.462532423E-4	6.905722548E-4	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	7.538194768E-4	1.048516133E-3	1.100230962E-3	9.797811508E-4	8.413206670E-4	7.369443192E-4	6.477577845E-4	5.321757635E-4	5.563047016E-4	7.477011532E-4	8.015535423E-4	8.052121848E-4	8.716144948E-4	8.603612077E-4	7.026912645E-4	4.468016268E-4	4.385329667E-4	7.312507369E-4	9.602230857E-4	1.017043367E-3	9.498228901E-4	8.547880570E-4	8.352210280E-4	7.496009930E-4	5.407456192E-4	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4.564350238E-4	6.938621518E-4	8.688555099E-4	9.451106307E-4	9.441284928E-4	8.839684888E-4	7.461340865E-4	5.690756370E-4	4.329510266E-4	5.245330976E-4	7.790810196E-4	8.438565419E-4	8.475371869E-4	9.109963430E-4	8.574717795E-4	6.985688233E-4	5.598568823E-4	6.564297364E-4	9.372415952E-4	1.075796317E-3	9.804074652E-4	7.572556497E-4	5.543668522E-4	4.627701419E-4	4.127473512E-4	3.848052002E-4	5.013333866E-4	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4.985731794E-4	5.550821079E-4	6.143440842E-4	7.515958860E-4	8.899980457E-4	8.903832058E-4	6.708606379E-4	3.950828686E-4	3.014824761E-4	5.238169688E-4	8.607361233E-4	9.523635963E-4	9.240517975E-4	8.908672025E-4	7.621900295E-4	6.516041467E-4	6.321617984E-4	7.316787960E-4	9.286769200E-4	1.042268937E-3	9.584820946E-4	7.459974149E-4	4.621706903E-4	1.847922831E-4	1.076991030E-4	2.832785831E-4	5.777549231E-4	6.723476108E-4
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5.973788793E-4	4.792679392E-4	4.946251865E-4	6.679859362E-4	8.573810919E-4	8.962609572E-4	6.909316871E-4	4.346451606E-4	3.562161291E-4	5.103248404E-4	7.732740487E-4	9.393835207E-4	9.852885269E-4	8.814430330E-4	6.824489683E-4	6.062640459E-4	6.340838736E-4	6.668625865E-4	7.776819402E-4	9.525953792E-4	1.025997452E-3	9.351093322E-4	6.320032408E-4	2.418407094E-4	1.447234681E-4	3.816655953E-4	7.080266369E-4	8.356486214E-4
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.170178531E-4	4.979575751E-4	5.401987582E-4	7.089045830E-4	9.154722793E-4	1.005525584E-3	8.481620462E-4	6.208872655E-4	4.959418438E-4	4.675718956E-4	5.757824983E-4	8.140295977E-4	9.973011911E-4	9.081451572E-4	6.920266314E-4	6.580271292E-4	7.355058915E-4	7.208922761E-4	7.359543233E-4	9.422888397E-4	1.154052326E-3	1.130104531E-3	8.227545768E-4	4.990046145E-4	4.711835354E-4	6.382573047E-4	8.843999822E-4	1.053576590E-3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5.576899275E-4	6.288043805E-4	6.973581621E-4	7.780106971E-4	9.432141087E-4	1.034047571E-3	8.644607733E-4	6.249438738E-4	5.020825192E-4	4.781334719E-4	5.989363417E-4	8.645966882E-4	1.064831857E-3	9.816020029E-4	7.915703463E-4	8.242406184E-4	9.715562919E-4	9.328669403E-4	8.248466183E-4	9.498760337E-4	1.180776046E-3	1.166903181E-3	9.000631981E-4	7.493974990E-4	8.197134594E-4	8.852201863E-4	1.039942959E-3	1.214978634E-3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.702757091E-4	9.150065016E-4	9.180078632E-4	7.800565800E-4	7.852411363E-4	8.207676583E-4	6.695960765E-4	4.971071030E-4	4.729652719E-4	5.692429841E-4	7.407658268E-4	9.418914560E-4	1.100877183E-3	1.092325663E-3	9.867377812E-4	1.019653515E-3	1.122623449E-3	1.066505094E-3	9.394801455E-4	9.860147256E-4	1.140261185E-3	1.114299754E-3	9.362252313E-4	9.313564515E-4	1.038722927E-3	1.047853264E-3	1.174115692E-3	1.323567820E-3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8.673981065E-4	1.173533150E-3	1.121352427E-3	8.148574852E-4	6.543080090E-4	6.105803186E-4	4.962169332E-4	4.120781960E-4	4.611903278E-4	6.017410196E-4	7.300722064E-4	8.451654576E-4	1.031646971E-3	1.165308291E-3	1.136112260E-3	1.066907425E-3	1.015662798E-3	9.589385591E-4	9.300586535E-4	9.683495737E-4	1.027427264E-3	9.728389559E-4	8.701752522E-4	9.457542328E-4	1.105142292E-3	1.201796578E-3	1.396519248E-3	1.530662761E-3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8.482495323E-4	1.201453619E-3	1.255280105E-3	9.970801184E-4	7.607680745E-4	6.251716404E-4	5.153857055E-4	4.364323977E-4	4.329823423E-4	5.286498927E-4	6.248455611E-4	7.351771928E-4	9.461659356E-4	1.080434886E-3	1.000007847E-3	8.332641446E-4	7.055051392E-4	6.624558591E-4	6.789034815E-4	7.071878645E-4	7.161868270E-4	6.472223904E-4	5.670463433E-4	6.568353274E-4	9.313915507E-4	1.262605423E-3	1.607817598E-3	1.774077304E-3
